KO,KEGG Name,KO Description,EC14,NW18,CC15,SW10,CC35,SW8,CC34,SC1,CC7,SW19,CC27,NE9,EC9
K03724,lhr, ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-],1161.468802,1681.270508,1664.358527,1320.751905,1496.851758,1130.556789,1022.011196,1658.217255,948.0073455,884.0435336,631.2473614,1094.539337,1823.993012
K02337,dnaE, DNA polymerase III subunit alpha [EC:2.7.7.7],952.7289677,1668.750256,1536.555457,1368.338045,1396.148395,1211.874882,1042.85749,1654.624914,956.0853595,836.4080314,758.9817312,1024.81938,1931.103697
K01338,lon, ATP-dependent Lon protease [EC:3.4.21.53],1067.523512,1517.884592,1727.373435,1531.413701,1644.159879,1113.818231,1056.468001,1645.812793,880.3968,832.6860156,763.470387,649.7126133,1890.122848
K01681,"ACO, acnA", aconitate hydratase [EC:4.2.1.3],907.7213837,1630.475035,1528.873217,1377.569017,1285.694824,972.8106743,1024.671341,1484.110486,905.6166657,726.1551118,1034.677178,1258.073013,1813.394696
K00615,"E2.2.1.1, tktA, tktB", transketolase [EC:2.2.1.1],993.7569173,1415.598298,1486.89124,1495.0253,1546.716016,1262.755382,1094.343696,1537.244519,1092.308461,725.9522501,814.11025,867.1501896,1557.60516
K04077,"groEL, HSPD1", chaperonin GroEL,911.1758719,1596.998647,1542.531117,1158.595009,1748.725245,1015.167681,1180.716613,1429.356585,986.3349358,791.4498492,677.5223875,851.4035065,1901.027322
K01955,"carB, CPA2", carbamoyl-phosphate synthase large subunit [EC:6.3.5.5],924.1021087,1649.434337,1569.758197,1217.662929,1412.84931,1016.103201,1014.68441,1601.941825,930.0048082,835.3499707,652.2409039,954.6311622,1866.452537
K03070,secA, preprotein translocase subunit SecA [EC:7.4.2.8],916.3555379,1616.743652,1477.577848,1311.133658,1341.562948,1053.210419,1086.491525,1525.910912,975.4193387,923.3502178,662.7298692,840.9594096,1833.065292
K07090,K07090, uncharacterized protein,1233.440094,1373.508516,1180.0783,1089.676349,1065.645145,1390.13104,1210.429296,1171.008029,1183.730394,1273.373154,757.0265434,1376.268284,1194.205473
K01953,"asnB, ASNS", asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4],1388.31359,1283.433656,1615.134406,1856.191588,1314.163113,1335.47287,865.2039504,1292.358848,783.7899386,932.9675808,555.198228,707.1106398,1507.453819
K00681,ggt, gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13],1147.762592,1236.626303,1597.071271,1369.907362,1425.7893,984.6073685,1139.972656,1479.035062,1014.558399,830.4074736,598.1250289,936.29663,1537.021014
K01870,"IARS, ileS", isoleucyl-tRNA synthetase [EC:6.1.1.5],900.7522434,1533.47342,1460.320283,1235.04018,1307.576659,1113.312882,962.8380996,1504.602485,962.3029426,820.6612606,620.2692654,1006.470958,1677.211854
K01426,"E3.5.1.4, amiE", amidase [EC:3.5.1.4],1002.115693,1259.100179,1395.4464,1076.284464,1426.222137,1022.608397,1227.400384,1270.265801,1105.083973,848.2296734,1098.145749,875.14601,1140.651161
K02433,"gatA, QRSL1", aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7],1013.514979,1333.608888,1384.576971,1049.79218,1612.54373,1057.67416,1145.071962,1389.816478,990.7880115,925.3086066,631.0069743,880.6456467,1331.476352
K02335,polA, DNA polymerase I [EC:2.7.7.7],934.8896959,1450.073779,1365.738089,1208.334901,1270.842158,1231.081078,905.6538018,1372.864478,908.5622007,824.6773264,678.3148139,929.7213458,1540.613877
K14162,dnaE2, error-prone DNA polymerase [EC:2.7.7.7],814.3063125,1468.003938,1282.071267,1450.215958,1229.26129,991.7199574,930.7878928,1400.129911,878.071351,893.2969482,778.1285005,820.7470611,1645.972556
K01869,"LARS, leuS", leucyl-tRNA synthetase [EC:6.1.1.4],851.2252342,1456.710303,1390.550724,1215.044924,1286.327119,1004.231441,920.3856673,1427.136317,863.6793151,845.1335221,637.4221892,911.9162127,1700.012141
K02469,gyrA, DNA gyrase subunit A [EC:5.6.2.2],856.1548224,1465.366049,1364.115019,1185.706732,1309.5221,1038.915161,986.3031576,1439.3661,953.1912249,824.6555737,495.4570739,870.7490522,1685.514148
K01692,"paaF, echA", enoyl-CoA hydratase [EC:4.2.1.17],1078.198555,1382.881214,818.3987714,781.6726428,780.9343492,620.9985632,1016.384023,1013.484914,881.3468923,2750.508939,1698.727998,762.5627772,878.562011
K03466,"ftsK, spoIIIE"," DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family",820.4289348,1475.179713,1072.722289,1092.984165,978.8534393,922.9375387,1260.253675,1151.176969,1393.086804,955.5295805,991.791692,949.996273,1305.633727
K00265,gltB, glutamate synthase (NADPH) large chain [EC:1.4.1.13],723.8412016,1623.363796,1351.488637,1071.477257,1185.738488,928.1914207,1058.889431,1279.240069,992.3822096,769.6434757,532.9190272,850.4271389,1437.827712
K10112,"msmX, msmK, malK, sugC, ggtA, msiK", multiple sugar transport system ATP-binding protein,669.0795268,1215.594218,1271.078367,1070.614624,1284.889194,812.0647409,1016.183581,1346.198573,1336.128737,874.1503656,619.3290997,883.3291645,1360.339195
K03518,coxS, aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3],557.930796,799.9013093,955.7455592,4334.345484,1198.160371,732.9221813,832.6741413,1058.985345,647.9623613,630.8882747,538.7036472,511.8558925,925.3141844
K00164,"OGDH, sucA", 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2],675.5539658,1537.193685,1275.535744,1140.712046,1009.061793,920.1048537,913.6632208,1309.542498,935.4117252,860.4339951,673.7810444,772.7781326,1588.462687
K02014,TC.FEV.OM, iron complex outermembrane recepter protein,1680.529467,537.8202839,1567.030759,1622.126502,860.4262944,1025.858137,830.7556997,1395.969025,424.4165625,811.2592123,203.381217,1365.717227,1168.810912
K00820,"glmS, GFPT", glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16],796.2958271,1211.919386,1276.844518,1062.890211,1180.563827,954.995493,888.7205957,1354.515513,976.873368,775.2171394,675.1443136,856.1178492,1474.163866
K01873,"VARS, valS", valyl-tRNA synthetase [EC:6.1.1.9],828.5374089,1266.572552,1286.141968,1179.611859,1082.889206,975.4835769,825.8490154,1280.260964,773.156218,790.6997408,704.0183981,904.7878585,1506.338398
K03723,mfd, transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-],872.0642574,1367.611632,1219.667606,1045.056768,1109.913044,894.7756938,837.8431159,1263.26417,826.1905442,803.3036877,654.9506107,780.7170079,1484.673802
K01872,"AARS, alaS", alanyl-tRNA synthetase [EC:6.1.1.7],809.3938384,1267.939948,1267.564382,1103.147259,1126.884319,916.7657494,792.7643988,1287.54043,788.5003383,712.5463469,695.6740739,857.6696649,1487.933256
K02529,"lacI, galR", LacI family transcriptional regulator,742.4826989,1001.636604,863.7273736,1211.01352,577.5857469,734.8548791,1319.377321,906.8332405,2009.92797,642.4018696,1338.637052,850.6617767,801.8728739
K01845,hemL," glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",814.9327384,1141.353638,1321.561184,914.9412625,1238.772576,991.1779071,840.1535291,1264.599442,1019.879081,705.11642,636.8297126,762.5538816,1297.615891
K03294,TC.APA," basic amino acid/polyamine antiporter, APA family",966.0820695,1065.735842,1387.285129,1471.83872,1210.518376,1226.445486,992.0155401,1183.354356,753.770512,637.4195016,317.2709677,428.5246196,1263.205853
K03696,clpC, ATP-dependent Clp protease ATP-binding subunit ClpC,650.6672467,1353.15637,1286.459217,960.1648412,1054.072743,721.8969855,865.3632667,1384.536798,814.2415352,651.8700905,881.9367666,617.0202437,1588.154061
K02470,gyrB, DNA gyrase subunit B [EC:5.6.2.2],691.8974593,1281.328066,1256.475776,1035.726157,1098.382544,920.2346041,869.5441128,1286.255456,841.9259425,704.2519971,539.954016,709.3660662,1525.922753
K01647,"CS, gltA", citrate synthase [EC:2.3.3.1],678.2028055,1248.37439,1157.445991,1030.297629,1068.894212,888.6463818,930.9639975,1165.580612,923.9404693,762.068604,714.7502362,739.8946113,1389.151406
K03695,clpB, ATP-dependent Clp protease ATP-binding subunit ClpB,751.0822611,1214.090683,1236.995152,1017.640021,1085.452832,885.7344888,834.8178819,1366.888876,749.999107,718.1726493,509.6094789,792.3668363,1481.717849
K00058,"serA, PHGDH", D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399],848.2367515,1111.631681,1182.595109,951.3480901,1242.249257,847.4046578,841.2664498,1241.429445,863.8747134,764.057599,621.9172109,844.8770324,1225.825266
K03168,topA, DNA topoisomerase I [EC:5.6.2.1],881.3977463,1104.317427,1209.997505,1040.767096,954.5727953,931.6623388,767.5015079,1319.881327,647.7440155,629.7222928,661.5001178,974.6510782,1380.49704
K01006,ppdK," pyruvate, orthophosphate dikinase [EC:2.7.9.1]",754.5331124,1197.429617,1294.615752,914.9282661,1132.45296,842.1103248,830.8738888,1183.548724,803.4835918,769.8954382,520.8165014,730.6215462,1506.240128
K01649,"leuA, IMS", 2-isopropylmalate synthase [EC:2.3.3.13],689.7206256,1327.763808,1167.40912,867.9684974,1002.028396,793.3017026,936.6639614,1187.391455,923.4515307,762.1522967,677.3273617,747.8913119,1375.529855
K00341,nuoL, NADH-quinone oxidoreductase subunit L [EC:7.1.1.2],785.5818755,1206.009121,1200.26146,958.569642,1058.954038,917.7387556,821.9247686,1154.547299,759.6268692,744.645928,609.9667772,799.5582731,1423.896874
K17686,"copA, ctpA, ATP7", P-type Cu+ transporter [EC:7.2.2.8],1530.751291,1185.557443,1153.583294,751.7338708,781.8887595,976.9596493,777.4320655,959.0048412,901.3658395,737.9401233,563.4081701,855.9370378,1246.153819
K00239,"sdhA, frdA"," succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]",691.4249014,1263.29448,1191.949906,946.2598189,1178.902818,805.2708139,879.8238784,1178.375803,825.9282738,656.7487607,517.3866043,695.3924831,1450.351481
K02050,ABC.SN.P, NitT/TauT family transport system permease protein,666.6899071,846.769094,1055.365668,1199.454637,1622.025862,856.3664706,1208.722196,1178.408926,813.6253835,594.1502434,673.3870667,566.9193849,954.5942975
K07114,yfbK, Ca-activated chloride channel homolog,1255.955012,864.1864387,1313.95974,956.9932443,987.7148084,1007.211586,904.9927099,1156.037017,785.2939609,746.2080564,344.1452121,749.0358261,1110.758261
K04043,"dnaK, HSPA9", molecular chaperone DnaK,822.602294,1119.217717,1240.875224,949.2444854,1160.730822,787.9102991,812.4429426,1210.930299,698.605057,631.9932338,556.8039247,686.4501242,1475.079058
K05366,mrcA, penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4],829.8129088,1034.698247,1110.554729,1190.285982,1080.178845,899.3081128,729.0700784,1211.169369,506.9075091,742.6231771,172.8791654,1195.470903,1396.264873
K00123,"fdoG, fdhF, fdwA", formate dehydrogenase major subunit [EC:1.17.1.9],557.0835861,1257.090875,1119.680802,1242.016414,1056.19447,921.3975733,1019.424448,1027.990167,639.9144778,402.6005242,910.9061065,718.2672842,1162.779308
K00549,metE, 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14],791.6708499,890.2837841,1249.615688,1098.674453,2055.904167,813.5639269,808.5182644,1239.745404,598.5592677,336.3555194,624.5279743,433.1459603,975.9131718
K07001,K07001, NTE family protein,744.559898,987.7930204,1035.402029,821.8511425,1222.616673,1012.409742,901.7369018,986.9162803,642.9345431,800.7171749,810.5760259,843.8914788,977.9770773
K07058,K07058, membrane protein,719.0806725,1215.582438,1021.219624,941.5180379,942.8294552,948.8456729,797.4952427,861.8661945,837.1872312,797.7548392,656.6384954,1012.100883,1025.564598
K02049,ABC.SN.A, NitT/TauT family transport system ATP-binding protein,617.8291022,858.4361276,1023.527622,1096.836122,1545.946441,807.4711924,1160.362035,1181.851335,825.8657342,527.9410834,566.4691585,578.741796,917.4355862
K01848,"E5.4.99.2A, mcmA1"," methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]",581.9742632,1080.889603,1167.04748,822.6672661,1114.146159,829.9792496,771.0264398,1166.048256,747.9270009,637.7756888,649.5433262,624.6982912,1512.599161
K01130,"E3.1.6.1, aslA", arylsulfatase [EC:3.1.6.1],332.7041514,272.6481075,1162.051308,561.0801602,3091.246032,1413.568513,918.778732,1214.668569,555.3820128,373.768941,373.3031086,468.7960163,874.9356538
K09458,"fabF, OXSM, CEM1", 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179],967.4419837,970.7556571,1069.971435,925.4342489,1166.581861,872.6459873,695.1634757,1137.718141,658.9226938,629.7909519,601.2366672,597.7303119,1184.751083
K06978,K06978, uncharacterized protein,621.6614452,979.1881876,934.1747089,1151.496804,1043.355706,751.9555245,916.6846613,1067.94217,596.7346683,713.4338543,1024.863649,768.1572827,893.3605326
K01733,thrC, threonine synthase [EC:4.2.3.1],740.5536959,1136.625574,1105.164673,920.8189372,1011.553662,787.3086729,786.4280044,997.7328794,788.404997,651.1467617,619.9742683,721.4127285,1163.415405
K00036,"G6PD, zwf", glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],550.7163858,952.57963,1037.800192,952.4098447,1287.570355,915.3312708,778.4891661,1106.406213,769.3330663,612.3507104,754.3152426,478.9395969,1139.214408
K01473,hyuA, N-methylhydantoinase A [EC:3.5.2.14],849.0388077,976.7411165,1175.718683,814.9544366,1469.333833,752.5072348,753.5886966,1204.518355,663.2978211,704.0037223,372.7131725,619.4219387,953.3323192
K00382,"DLD, lpd, pdhD", dihydrolipoamide dehydrogenase [EC:1.8.1.4],726.1504383,1130.044616,1046.055476,903.4301278,965.4724895,826.3685842,752.5184371,987.2693063,715.5780561,686.5138986,446.3976622,868.0604015,1246.897623
K00135,gabD, succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],453.3718307,1190.416489,894.599663,871.0989006,768.7364675,706.0059093,898.0412695,906.8934824,1130.560191,727.2051436,658.573936,1005.975774,1066.881698
K01754,"E4.3.1.19, ilvA, tdcB", threonine dehydratase [EC:4.3.1.19],829.7390097,878.7214071,1006.038758,1094.174278,807.1665129,795.4031562,777.1934722,1132.991763,851.7743289,671.7772075,517.8815968,842.3453555,1020.578038
K02275,"coxB, ctaC", cytochrome c oxidase subunit II [EC:7.1.1.9],746.1471117,884.7016223,951.3497782,1188.42411,847.2004043,1030.452414,714.1817777,996.9959043,588.7002357,622.402888,759.5138898,883.4504198,988.727695
K01474,hyuB, N-methylhydantoinase B [EC:3.5.2.14],717.7367084,962.1550286,1194.459495,831.1857117,1467.429717,713.7147181,757.3269835,1189.081484,603.5339637,578.5022218,345.9854911,507.3870789,1015.943245
K03496,"parA, soj", chromosome partitioning protein,732.932043,989.1631735,813.2933901,795.5426274,822.1037358,843.1966929,852.066169,921.2289617,737.747867,768.9495785,772.8290336,808.0123852,960.8305544
K00799,"GST, gst", glutathione S-transferase [EC:2.5.1.18],968.2956029,630.7360068,964.0098155,1121.641702,1284.634786,809.1850358,1024.95009,1163.029912,612.6852489,687.7567514,208.8579454,512.9300776,809.7157894
K00962,"pnp, PNPT1", polyribonucleotide nucleotidyltransferase [EC:2.7.7.8],638.1992555,1132.729931,1032.366424,875.6985527,925.8081952,724.2138703,734.5327838,1085.277175,620.2872963,615.0910297,440.7089234,639.9752769,1210.207616
K00342,nuoM, NADH-quinone oxidoreductase subunit M [EC:7.1.1.2],714.4602427,1054.556712,999.3340455,776.7436292,912.1991823,800.1700426,709.7356015,939.9971324,680.4120966,621.4860671,479.816695,762.4692616,1180.199664
K03686,dnaJ, molecular chaperone DnaJ,811.6119754,1027.450214,935.7227762,738.2818618,799.413251,773.9748867,650.6644349,991.3092549,698.2655562,766.303443,691.106037,640.525887,1016.99695
K01868,"TARS, thrS", threonyl-tRNA synthetase [EC:6.1.1.3],620.6901274,1054.853288,1035.425076,921.2034318,878.0178378,733.8046281,705.8300775,1020.840031,662.2051411,533.4808997,481.4492498,659.3288431,1220.254829
K00605,"gcvT, AMT", aminomethyltransferase [EC:2.1.2.10],627.7262577,938.8627012,1035.993295,637.5133605,1046.979997,704.1646667,612.5859998,1124.259453,733.623262,500.4712814,410.5239243,760.5010883,1332.782937
K01214,"ISA, treX", isoamylase [EC:3.2.1.68],523.0588546,1142.683389,965.0072081,947.9809348,862.1774113,787.1987784,833.7308006,659.6073221,624.2833063,524.073803,763.1073235,565.0911268,1134.590547
K03885,ndh, NADH dehydrogenase [EC:1.6.99.3],598.3694461,981.6356943,841.9763503,674.4044671,1216.203109,780.1391887,801.6474779,854.4372555,752.2794134,512.0991648,702.3106333,705.1970278,847.2751102
K07045,K07045, uncharacterized protein,663.2865992,919.3110424,968.4891335,734.9635837,1353.110066,535.6281147,858.2930844,711.0523675,746.8191333,615.6697342,772.1433163,524.9107208,856.4720567
